日時,燃料,弾薬,鋼材,ボーキ,高速建造材,高速修復材,開発資材,改修資材,司令部Lv,提督Exp
2015/09/09 16:16:22,10039,4663,26715,25713,661,160,691,77,104,2674872
2015/09/09 16:48:49,6303,2992,21756,18744,661,160,671,77,104,2675597
2015/09/09 16:57:47,6266,2967,21765,18747,661,160,671,77,104,2675757
2015/09/09 17:06:44,6275,2976,21774,18750,661,160,671,77,104,2675757
2015/09/09 17:12:14,6277,2982,21771,18752,661,160,671,77,104,2675757
2015/09/09 17:18:50,6191,2922,21777,18754,661,160,671,77,104,2676045
2015/09/09 17:23:59,6197,2928,21783,18756,661,160,671,77,104,2676045
2015/09/09 17:40:38,6157,2908,21789,18761,661,160,671,77,104,2676205
2015/09/09 17:47:45,6098,2884,21756,18764,661,160,671,77,104,2676333
2015/09/10 07:15:23,7325,3907,22277,19073,661,160,671,77,104,2678363
2015/09/10 08:00:44,7325,3958,22185,19378,662,161,671,77,104,2678813
2015/09/10 10:42:30,7240,3921,22207,19427,662,161,671,77,104,2678833
2015/09/10 11:04:40,8461,4425,22718,19654,663,162,675,77,104,2680546
2015/09/10 11:17:26,8689,4595,23049,20008,663,165,676,77,104,2680546
2015/09/10 11:42:38,8666,4594,23076,20017,663,165,676,77,104,2680674
2015/09/10 11:51:23,8614,4575,23062,20020,663,165,676,77,104,2680834
2015/09/10 12:12:53,8837,3766,22155,20117,665,167,671,77,104,2680994
2015/09/10 12:15:52,9001,4039,22312,20238,665,166,672,77,104,2681194
2015/09/10 12:19:59,8954,4014,22315,20239,665,166,672,77,104,2681322
2015/09/10 12:39:42,8882,3981,22323,20246,665,166,672,77,104,2681610
2015/09/10 13:16:33,8842,3983,22351,20258,665,166,672,77,104,2681770
2015/09/10 13:20:27,9041,4170,22343,20259,665,166,672,77,104,2681943
2015/09/10 13:33:19,8868,4080,22358,20264,665,166,672,77,104,2682311
2015/09/10 13:49:37,9400,4219,22593,20289,665,166,672,77,104,2682401
2015/09/10 14:03:34,9415,4234,22608,20294,665,166,672,77,104,2682401
2015/09/10 14:04:08,9415,4234,22608,20294,665,166,672,77,104,2682401
2015/09/10 14:28:42,9264,4162,22611,20302,665,166,672,77,104,2682849
2015/09/10 14:53:40,9107,4020,22622,20310,665,166,672,77,104,2683177
2015/09/10 14:57:25,9058,3997,22628,20312,665,166,672,77,104,2683305
2015/09/10 15:00:12,9061,4000,22631,20313,665,166,672,77,104,2683385
2015/09/10 15:14:26,8929,3847,22713,20157,665,167,673,77,104,2683465
2015/09/10 15:40:01,9078,3998,22740,20166,665,167,673,77,104,2683926
2015/09/10 16:01:50,9099,4019,22761,20173,665,167,673,77,104,2684186
2015/09/10 16:18:18,8659,3568,22562,20159,665,165,673,77,104,2684784
2015/09/10 17:07:57,8798,3271,22674,20115,665,162,673,77,104,2685732
2015/09/10 18:00:35,8488,2265,21892,20053,665,158,673,77,104,2686960
2015/09/10 18:45:22,8294,2093,22108,20163,665,158,673,77,104,2688402
2015/09/10 19:15:48,8316,2123,22123,20173,665,158,673,77,104,2688530
2015/09/10 19:19:51,8210,2070,22099,20174,665,158,673,77,104,2688690
2015/09/10 19:32:26,8222,2082,22111,20178,665,158,673,77,104,2688690
2015/09/10 20:00:12,8664,2165,22352,20208,665,158,673,77,104,2689036
2015/09/10 20:03:05,8627,2142,22355,20209,665,158,673,77,104,2689164
2015/09/10 20:09:37,8628,2148,22352,20211,665,158,673,77,104,2689164
2015/09/10 20:40:29,9070,2525,22382,20221,665,158,673,77,104,2689254
2015/09/10 20:41:04,9070,2525,22382,20221,665,158,673,77,104,2689254
2015/09/10 21:17:30,9106,2561,22418,20233,665,158,673,77,104,2689254
2015/09/10 21:18:26,9278,2764,22441,20254,665,158,673,77,104,2689294
2015/09/10 22:01:09,8964,2614,22452,20268,665,158,673,77,104,2690174
2015/09/10 22:03:18,8890,2578,22445,20269,665,158,673,77,104,2690174
2015/09/10 22:25:26,8837,2571,22451,20276,665,158,673,77,104,2690334
2015/09/10 22:28:23,8840,2574,22454,20277,665,158,673,77,104,2690334
2015/09/10 23:01:54,9689,3020,22700,20308,665,158,673,77,104,2690994
2015/09/10 23:07:32,9607,2970,22706,20310,665,158,673,77,104,2691154
2015/09/10 23:14:00,9536,2937,22703,20312,665,158,673,77,104,2691282
2015/09/10 23:47:29,9317,2821,22736,20323,665,158,673,77,104,2692050
2015/09/11 00:01:46,9332,2836,22751,20328,665,158,673,77,104,2692050
2015/09/11 00:02:40,9332,2836,22751,20328,665,158,673,77,104,2692050
2015/09/11 00:06:57,9279,2815,22729,20330,665,158,673,77,104,2692210
2015/09/11 07:33:00,9538,3262,22820,20479,665,158,673,77,104,2692210
2015/09/11 08:25:03,9928,3175,23431,21356,665,160,674,77,104,2692450
2015/09/11 09:01:10,9964,3211,23467,21368,665,160,674,77,104,2692520
2015/09/11 09:13:18,9892,1918,22671,21287,669,162,670,77,104,2692660
2015/09/11 09:17:43,9855,1918,22674,21288,669,162,671,77,104,2692948
2015/09/11 10:05:47,10074,1940,23140,21505,669,164,674,77,104,2695068
2015/09/11 10:08:15,10326,2152,23140,21505,669,164,674,77,104,2695273
2015/09/11 13:37:13,10252,2837,23745,21595,669,165,674,77,104,2696245
2015/09/11 17:56:42,10982,3934,24236,21701,669,165,674,77,104,2696425
2015/09/11 18:02:45,11482,4947,24835,21874,669,165,674,77,104,2696688
2015/09/11 18:19:42,11324,4845,24810,21879,669,165,674,77,104,2696976
2015/09/11 18:34:05,10916,4365,24825,21839,669,165,675,77,104,2697216
