艦船ID,艦名,アイテムID,アイテム名,装備ID,装備名,入手日時,海域,海域,セル,難易度,ボス,敵編成,ランク,司令部Lv
96,大潮,-1,(なし),-1,(なし),2015/10/10 19:24:03,3,3,1,なし,-,2797475756,S,105
97,満潮,68,秋刀魚,-1,(なし),2015/10/10 19:29:45,3,3,12,なし,-,4043564991,S,105
27,山城,-1,(なし),-1,(なし),2015/10/10 19:40:44,3,3,1,なし,-,3166583471,S,105
64,足柄,-1,(なし),-1,(なし),2015/10/10 19:43:12,3,3,12,なし,-,1974849312,S,105
78,金剛,-1,(なし),-1,(なし),2015/10/10 19:45:21,3,3,13,なし,ボス,4143336126,S,105
102,千歳,-1,(なし),-1,(なし),2015/10/10 20:01:20,3,3,1,なし,-,3166583471,S,105
26,扶桑,-1,(なし),-1,(なし),2015/10/10 20:03:34,3,3,3,なし,-,547884230,S,105
65,羽黒,-1,(なし),-1,(なし),2015/10/10 20:04:49,3,3,7,なし,-,4290792538,S,105
75,飛鷹,-1,(なし),-1,(なし),2015/10/10 20:06:48,3,3,1,なし,-,3166583471,S,105
14,敷波,-1,(なし),-1,(なし),2015/10/10 20:29:26,3,3,1,なし,-,648071495,S,105
-1,(なし),68,秋刀魚,-1,(なし),2015/10/10 20:31:04,3,3,12,なし,-,4043564991,S,105
-1,(なし),-1,(なし),-1,(なし),2015/10/10 20:33:03,3,3,1,なし,-,2797475756,S,105
74,祥鳳,68,秋刀魚,-1,(なし),2015/10/10 20:35:30,3,3,12,なし,-,4043564991,S,105
-1,(なし),-1,(なし),-1,(なし),2015/10/10 20:46:48,3,3,1,なし,-,3166583471,S,105
-1,(なし),-1,(なし),-1,(なし),2015/10/10 20:48:42,3,3,12,なし,-,4043564991,S,105
90,蒼龍,-1,(なし),-1,(なし),2015/10/10 20:54:07,3,3,13,なし,ボス,168651939,S,105
-1,(なし),-1,(なし),-1,(なし),2015/10/10 21:03:27,3,3,1,なし,-,2797475756,S,105
23,由良,68,秋刀魚,-1,(なし),2015/10/10 21:06:33,3,3,12,なし,-,1974849312,S,105
